Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO02069,7.13544,7.09223,7.41630,7.02021,7.58914,Y,Y,N,N,0.00449,0.00000,N,N,1,22
LOGZ,ECO02069,8.38197,8.32263,8.61272,8.25011,8.79072,Y,Y,N,N,0.00000,0.00000,N,N,2,140
LOGQ,ECO02071,7.13544,7.07782,7.29387,7.02021,7.54593,Y,Y,N,N,0.00231,0.00000,N,N,1,22
LOGZ,ECO02071,8.19737,8.13144,8.32263,8.06551,8.52042,Y,Y,N,N,0.00000,0.00000,N,N,1,112
LOGQ,ECO02072,7.50992,7.43070,7.74758,7.35149,8.06445,Y,Y,N,N,0.00000,0.00000,N,N,1,74
LOGZ,ECO02072,8.10507,8.03914,8.30945,7.95343,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,2,98
LOGQ,ECO02074,7.51712,7.43791,7.62515,7.37309,7.76918,Y,Y,N,N,0.00000,0.00000,N,N,1,75
LOGZ,ECO02074,8.23693,8.13144,8.34900,8.05233,8.46108,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO02080,7.42350,7.35869,7.63955,7.28667,7.87721,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,ECO02080,8.21055,8.14463,8.36878,8.07870,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,114
LOGQ,ECO02088,7.38029,7.32268,7.52433,7.26507,7.69716,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,ECO02088,8.18418,8.11166,8.31604,8.04573,8.46108,Y,Y,N,N,0.00000,0.00000,N,N,1,110
LOGQ,ECO02092,7.45231,7.38749,7.74037,7.30828,7.94922,Y,Y,N,N,0.00000,0.00000,N,N,1,66
LOGZ,ECO02092,8.25011,8.18418,8.44130,8.11166,8.60612,Y,Y,N,N,0.00000,0.00000,N,N,1,120
LOGQ,ECO02095,7.41630,7.35869,7.71157,7.28667,7.99963,Y,Y,N,N,0.00000,0.00000,N,N,1,61
LOGZ,ECO02095,8.19737,8.13144,8.40175,8.05233,8.63909,Y,Y,N,N,0.00000,0.00000,N,N,2,112
LOGQ,ECO02096,7.39470,7.12823,7.53153,6.99140,7.68276,Y,Y,N,N,0.01796,0.00000,N,N,2,58
LOGZ,ECO02096,8.93577,8.60612,8.92917,8.34900,8.98192,N,Y,N,N,0.00000,0.00000,N,N,2,224
LOGQ,ECO02098,7.19305,7.14264,7.32988,7.08502,7.49552,Y,Y,N,N,0.00000,0.00000,N,N,1,30
