Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oiii4959,ECO00038,Y,0.53314,0.46230,0.63051,4.74511
oiii5007,ECO00038,Y,1.78314,1.37930,3.18939,14.08267
oi6300,ECO00038,Y,-0.04436,0.05956,-1.36646,-0.58325
nii6548,ECO00038,Y,0.14739,0.14389,0.15025,6.31508
halpha,ECO00038,Y,2.86000,2.80014,0.62853,30.02851
nii6584,ECO00038,Y,0.44178,0.42415,0.25044,6.27534
sii6717,ECO00038,Y,0.59408,0.49406,1.27958,7.60037
sii6731,ECO00038,Y,0.62188,0.37556,2.90830,7.34260
hbeta,ECO00039,Y,1.00000,1.00000,0.00000,6.13387
oiii4959,ECO00039,Y,0.13326,0.20598,-0.51531,0.94431
oiii5007,ECO00039,Y,0.89563,0.61454,1.74432,5.55778
oi6300,ECO00039,Y,0.22526,0.08711,1.26550,2.06342
nii6548,ECO00039,Y,0.18280,0.17749,0.15499,5.33351
halpha,ECO00039,Y,2.86000,2.80519,0.38846,20.27124
nii6584,ECO00039,Y,0.55060,0.52320,0.26498,5.32603
sii6717,ECO00039,Y,1.03374,0.67105,2.70369,7.70617
sii6731,ECO00039,Y,0.40711,0.50968,-0.96043,3.81198
hbeta,ECO00040,Y,1.00000,1.00000,0.00000,10.79636
oiii4959,ECO00040,Y,1.18719,0.91527,3.06007,13.36001
oiii5007,ECO00040,Y,3.66266,2.73081,7.96625,31.31161
oi6300,ECO00040,Y,-0.02741,0.03840,-1.15410,-0.48064
nii6548,ECO00040,Y,0.10610,0.11176,-0.33693,6.31263
halpha,ECO00040,Y,2.86000,2.79338,0.87342,37.49868
nii6584,ECO00040,Y,0.31900,0.32946,-0.20639,6.29239
sii6717,ECO00040,Y,0.55465,0.34494,3.04365,8.05022
sii6731,ECO00040,Y,0.31962,0.26205,1.08419,6.01885
hbeta,ECO00042,Y,1.00000,1.00000,0.00000,15.46888
oiii4959,ECO00042,Y,0.68616,0.50139,3.04209,11.29687
oiii5007,ECO00042,Y,1.90834,1.49594,6.21738,28.77025
oi6300,ECO00042,Y,0.14847,0.06018,2.18816,3.67962
nii6548,ECO00042,Y,0.15490,0.16121,-0.45471,11.14928
halpha,ECO00042,Y,2.86000,2.79812,1.10615,51.12344
nii6584,ECO00042,Y,0.46274,0.47523,-0.29798,11.04272
sii6717,ECO00042,Y,0.41332,0.51373,-0.68142,2.80498
sii6731,ECO00042,Y,0.61744,0.39035,4.25305,11.56394
hbeta,ECO00048,Y,1.00000,1.00000,0.00000,7.58831
oiii4959,ECO00048,Y,0.41845,0.41139,0.05623,3.33593
oiii5007,ECO00048,Y,1.64447,1.22741,2.79878,11.03574
oi6300,ECO00048,Y,0.09529,0.06203,0.38517,1.10367
nii6548,ECO00048,Y,0.15865,0.14587,0.49042,6.08677
halpha,ECO00048,Y,2.86000,2.80112,0.52306,25.40542
nii6584,ECO00048,Y,0.47879,0.42998,0.62091,6.09021
sii6717,ECO00048,Y,0.71738,0.50951,2.23810,7.72386
sii6731,ECO00048,Y,0.45794,0.38733,0.84889,5.50509
hbeta,ECO00050,Y,1.00000,1.00000,0.00000,13.93110
oiii4959,ECO00050,Y,0.32926,0.30380,0.42227,5.45962
oiii5007,ECO00050,Y,1.37550,0.90638,6.66239,19.53471
oi6300,ECO00050,Y,0.18397,0.06575,2.90246,4.51658
nii6548,ECO00050,Y,0.10132,0.12298,-1.70795,7.98897
halpha,ECO00050,Y,2.86000,2.80772,0.82724,45.25100
nii6584,ECO00050,Y,0.30581,0.36251,-1.48227,7.99448
sii6717,ECO00050,Y,0.65763,0.49979,2.89574,12.06490
sii6731,ECO00050,Y,0.42352,0.37995,0.92898,9.03051
hbeta,ECO00051,Y,1.00000,1.00000,0.00000,9.04570
oiii4959,ECO00051,Y,0.87428,0.69972,1.74274,8.72812
oiii5007,ECO00051,Y,2.45978,2.08767,2.93554,19.40487
oi6300,ECO00051,Y,0.04245,0.04222,0.00343,0.64399
nii6548,ECO00051,Y,0.09835,0.09623,0.10359,4.82208
halpha,ECO00051,Y,2.86000,2.79887,0.61431,28.73881
nii6584,ECO00051,Y,0.29647,0.28368,0.20798,4.81944
sii6717,ECO00051,Y,0.42919,0.35229,0.83438,4.65693
sii6731,ECO00051,Y,0.38145,0.26802,1.48738,5.00184
hbeta,ECO00052,Y,1.00000,1.00000,0.00000,11.37379
oiii4959,ECO00052,Y,0.10909,0.20976,-1.20102,1.30160
oiii5007,ECO00052,Y,0.94501,0.62581,3.48379,10.31408
oi6300,ECO00052,Y,0.13864,0.07814,1.07040,2.45312
nii6548,ECO00052,Y,0.11337,0.13791,-1.29841,5.99925
halpha,ECO00052,Y,2.86000,2.80911,0.62394,35.06300
nii6584,ECO00052,Y,0.34105,0.40653,-1.14882,5.98317
sii6717,ECO00052,Y,0.85177,0.57961,3.17051,9.92265
sii6731,ECO00052,Y,0.61802,0.44038,2.62683,9.13880
hbeta,ECO00054,Y,1.00000,1.00000,0.00000,25.00055
oiii4959,ECO00054,Y,0.67107,0.51749,4.23200,18.49114
oiii5007,ECO00054,Y,1.96516,1.54394,8.31423,38.78899
oi6300,ECO00054,Y,0.07947,0.03989,2.36831,4.75451
nii6548,ECO00054,Y,0.05631,0.06387,-1.44977,10.79703
halpha,ECO00054,Y,2.86000,2.81069,1.24954,72.47096
nii6584,ECO00054,Y,0.17000,0.18828,-1.16241,10.80636
sii6717,ECO00054,Y,0.35388,0.29568,2.55589,15.54154
sii6731,ECO00054,Y,0.28048,0.22528,2.47608,12.58163
