Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
sii6717,ECO00051,Y,0.42919,0.41086,0.19891,4.65693
sii6731,ECO00051,Y,0.38145,0.31191,0.91193,5.00184
hbeta,ECO00052,Y,1.00000,1.00000,0.00000,11.37379
oiii4959,ECO00052,Y,0.10909,0.21907,-1.31214,1.30160
oiii5007,ECO00052,Y,0.94501,0.65362,3.18025,10.31408
oi6300,ECO00052,Y,0.13864,0.08454,0.95723,2.45312
nii6548,ECO00052,Y,0.11337,0.10807,0.28073,5.99925
halpha,ECO00052,Y,2.86000,2.80278,0.70155,35.06300
nii6584,ECO00052,Y,0.34105,0.31857,0.39426,5.98317
sii6717,ECO00052,Y,0.85177,0.66028,2.23077,9.92265
sii6731,ECO00052,Y,0.61802,0.50145,1.72380,9.13880
hbeta,ECO00054,Y,1.00000,1.00000,0.00000,25.00055
oiii4959,ECO00054,Y,0.67107,0.53206,3.83052,18.49114
oiii5007,ECO00054,Y,1.96516,1.58742,7.45603,38.78899
oi6300,ECO00054,Y,0.07947,0.04435,2.10101,4.75451
nii6548,ECO00054,Y,0.05631,0.05158,0.90712,10.79703
halpha,ECO00054,Y,2.86000,2.80372,1.42604,72.47096
nii6584,ECO00054,Y,0.17000,0.15205,1.14069,10.80636
sii6717,ECO00054,Y,0.35388,0.34707,0.29920,15.54154
sii6731,ECO00054,Y,0.28048,0.26409,0.73532,12.58163
hbeta,ECO00055,Y,1.00000,1.00000,0.00000,10.98708
oiii4959,ECO00055,Y,0.67593,0.48682,2.07035,7.40014
oiii5007,ECO00055,Y,1.71446,1.45249,2.50623,16.40222
oi6300,ECO00055,Y,0.27358,0.05783,3.55342,4.50588
